source_url,linked_url,normalized_linked_url,raw_href,target_url,target_resolved_via_alias,linked_url_differs_from_canonical,self_canonical_target,linked_url_is_redirect,linked_url_redirect_status,linked_url_redirect_hops_to_final,linked_url_redirect_final_url,linked_url_is_noncanonical_variant,anchor_text,anchor_text_normalized,link_context,occurrences,nofollow_occurrences,hidden_occurrences,link_evidence,source_is_hub,source_28d_visitors,source_is_observed_high_traffic,target_is_crawled_canonical,source_out_degree,target_in_degree,source_depth,target_depth,target_pagerank
https://www.suvroghosh.in/,https://www.suvroghosh.in/resume,https://www.suvroghosh.in/resume,/resume,https://www.suvroghosh.in/resume,false,false,false,false,,,,false,Resume ↗,resume ↗,nav,1,0,0,rendered_dom,true,150,true,true,19,931,0,1,0.0380249555
https://www.suvroghosh.in/,https://www.suvroghosh.in/resume,https://www.suvroghosh.in/resume,/resume,https://www.suvroghosh.in/resume,false,false,false,false,,,,false,Resume Experience and capabilities →,resume experience and capabilities →,header,1,0,1,rendered_dom,true,150,true,true,19,931,0,1,0.0380249555
https://www.suvroghosh.in/,https://www.suvroghosh.in/resume,https://www.suvroghosh.in/resume,/resume,https://www.suvroghosh.in/resume,false,false,false,false,,,,false,View Resume,view resume,main,1,0,0,rendered_dom,true,150,true,true,19,931,0,1,0.0380249555
https://www.suvroghosh.in/,https://www.suvroghosh.in/start-here,https://www.suvroghosh.in/start-here,/start-here,https://www.suvroghosh.in/start-here,false,false,false,false,,,,false,Explore the reading paths →,explore the reading paths →,main,1,0,0,rendered_dom,true,150,true,true,19,931,0,1,0.0393176317
https://www.suvroghosh.in/,https://www.suvroghosh.in/start-here,https://www.suvroghosh.in/start-here,/start-here,https://www.suvroghosh.in/start-here,false,false,false,false,,,,false,Start Here,start here,nav,3,0,1,rendered_dom,true,150,true,true,19,931,0,1,0.0393176317
https://www.suvroghosh.in/,https://www.suvroghosh.in/start-here,https://www.suvroghosh.in/start-here,/start-here,https://www.suvroghosh.in/start-here,false,false,false,false,,,,false,Start Here Follow five curated reading paths →,start here follow five curated reading paths →,header,1,0,1,rendered_dom,true,150,true,true,19,931,0,1,0.0393176317
https://www.suvroghosh.in/,https://www.suvroghosh.in/start-here,https://www.suvroghosh.in/start-here,/start-here#calcutta,https://www.suvroghosh.in/start-here,false,false,false,false,,,,false,"04 PLACE & MEMORY Calcutta, close up Tea, schooling, heat, and the city as lived experience rather than scenery. Follow path →","04 place & memory calcutta, close up tea, schooling, heat, and the city as lived experience rather than scenery. follow path →",main,1,0,0,rendered_dom,true,150,true,true,19,931,0,1,0.0393176317
https://www.suvroghosh.in/,https://www.suvroghosh.in/start-here,https://www.suvroghosh.in/start-here,/start-here#fiction,https://www.suvroghosh.in/start-here,false,false,false,false,,,,false,"05 SHORT FICTION Fiction after dark Three unsettling stories in which Calcutta's streets, houses, and systems acquire lives of their own. Follow path →","05 short fiction fiction after dark three unsettling stories in which calcutta's streets, houses, and systems acquire lives of their own. follow path →",main,1,0,0,rendered_dom,true,150,true,true,19,931,0,1,0.0393176317
https://www.suvroghosh.in/,https://www.suvroghosh.in/start-here,https://www.suvroghosh.in/start-here,/start-here#healthcare,https://www.suvroghosh.in/start-here,false,false,false,false,,,,false,"02 HEALTHCARE IT Healthcare systems from first principles Start with the human and institutional problems, then move into interoperability and information exchange. Follow path →","02 healthcare it healthcare systems from first principles start with the human and institutional problems, then move into interoperability and information exchange. follow path →",main,1,0,0,rendered_dom,true,150,true,true,19,931,0,1,0.0393176317
https://www.suvroghosh.in/,https://www.suvroghosh.in/start-here,https://www.suvroghosh.in/start-here,/start-here#orientation,https://www.suvroghosh.in/start-here,false,false,false,false,,,,false,"01 ORIENTATION Begin with the voice Three essays about why this site exists, what its author notices, and how small things become a way of thinking. Follow path →","01 orientation begin with the voice three essays about why this site exists, what its author notices, and how small things become a way of thinking. follow path →",main,1,0,0,rendered_dom,true,150,true,true,19,931,0,1,0.0393176317
https://www.suvroghosh.in/,https://www.suvroghosh.in/start-here,https://www.suvroghosh.in/start-here,/start-here#science,https://www.suvroghosh.in/start-here,false,false,false,false,,,,false,"03 SCIENCE & MENTAL MODELS Science without ceremonial fog Mathematics, probability, and uncertainty explained through queues, myths, and the structures beneath ordinary problems. Follow path →","03 science & mental models science without ceremonial fog mathematics, probability, and uncertainty explained through queues, myths, and the structures beneath ordinary problems. follow path →",main,1,0,0,rendered_dom,true,150,true,true,19,931,0,1,0.0393176317
https://www.suvroghosh.in/,https://www.suvroghosh.in/topics,https://www.suvroghosh.in/topics,/topics,https://www.suvroghosh.in/topics,false,false,false,false,,,,false,Topic Headquarters Follow guided routes through substantial subjects →,topic headquarters follow guided routes through substantial subjects →,header,1,0,1,rendered_dom,true,150,true,true,19,931,0,1,0.0389352519
